test,gaussian_level,acc
0.0,0.003,0.8551326412918109
0.0,0.006,0.8551326412918109
0.0,0.009,0.845444059976932
0.0,0.012,0.8378316032295271
0.0,0.013,0.8281430219146482
0.0,0.014,0.8244521337946944
0.0,0.015,0.8235294117647058
0.0,0.016,0.8085351787773933
0.0,0.017,0.7986159169550173
0.0,0.018,0.7983852364475201
0.0,0.019,0.7870818915801615
0.0,0.02,0.7845444059976932
0.0,0.021,0.7670126874279123
0.0,0.022,0.7494809688581315
0.0,0.023,0.7430219146482122
0.0,0.024,0.7164936562860438
0.0,0.025,0.708881199538639
1.0,0.003,0.8542099192618223
2.0,0.003,0.8572087658592848
3.0,0.003,0.8581314878892734
4.0,0.003,0.8560553633217993
1.0,0.006,0.8500576701268743
2.0,0.006,0.8509803921568627
3.0,0.006,0.8532871972318339
4.0,0.006,0.8502883506343714
1.0,0.009,0.8461361014994233
2.0,0.009,0.8449826989619377
3.0,0.009,0.8463667820069204
4.0,0.009,0.84959630911188
1.0,0.012,0.8325259515570934
2.0,0.012,0.8352941176470589
3.0,0.012,0.8304498269896193
4.0,0.012,0.8364475201845444
1.0,0.013,0.8304498269896193
2.0,0.013,0.8283737024221454
3.0,0.013,0.8306805074971165
4.0,0.013,0.8327566320645905
1.0,0.014,0.8253748558246828
2.0,0.014,0.8274509803921568
3.0,0.014,0.8253748558246828
4.0,0.014,0.8230680507497117
1.0,0.015,0.823760092272203
2.0,0.015,0.8223760092272203
3.0,0.015,0.8170703575547866
4.0,0.015,0.8212226066897347
1.0,0.016,0.8126874279123414
2.0,0.016,0.8117647058823529
3.0,0.016,0.8122260668973472
4.0,0.016,0.8126874279123414
1.0,0.017,0.7993079584775087
2.0,0.017,0.8110726643598616
3.0,0.017,0.8004613610149942
4.0,0.017,0.8053056516724337
1.0,0.018,0.8002306805074971
2.0,0.018,0.8025374855824683
3.0,0.018,0.796078431372549
4.0,0.018,0.8025374855824683
1.0,0.019,0.7850057670126874
2.0,0.019,0.7896193771626298
3.0,0.019,0.7861591695501731
4.0,0.019,0.7838523644752018
1.0,0.02,0.784083044982699
2.0,0.02,0.7838523644752018
3.0,0.02,0.7753171856978085
4.0,0.02,0.7760092272202999
1.0,0.021,0.7656286043829297
2.0,0.021,0.7764705882352941
3.0,0.021,0.7769319492502883
4.0,0.021,0.7610149942329874
1.0,0.022,0.7540945790080739
2.0,0.022,0.7517877739331027
3.0,0.022,0.7506343713956171
4.0,0.022,0.7434832756632065
1.0,0.023,0.7457900807381777
2.0,0.023,0.7416378316032295
3.0,0.023,0.7439446366782007
4.0,0.023,0.7453287197231834
1.0,0.024,0.7337946943483276
2.0,0.024,0.7280276816608997
3.0,0.024,0.7409457900807381
4.0,0.024,0.7312572087658593
1.0,0.025,0.7162629757785467
2.0,0.025,0.7185697808535179
3.0,0.025,0.7164936562860438
4.0,0.025,0.7021914648212226
5.0,0.003,0.8562860438292964
6.0,0.003,0.857439446366782
7.0,0.003,0.8579008073817762
8.0,0.003,0.8549019607843137
9.0,0.003,0.8572087658592848
5.0,0.006,0.8523644752018454
6.0,0.006,0.8509803921568627
7.0,0.006,0.8539792387543252
8.0,0.006,0.8516724336793541
9.0,0.006,0.8565167243367935
5.0,0.009,0.8470588235294118
6.0,0.009,0.8447520184544406
7.0,0.009,0.8426758938869665
8.0,0.009,0.8461361014994233
9.0,0.009,0.8417531718569781
5.0,0.012,0.8343713956170704
6.0,0.012,0.8313725490196079
7.0,0.012,0.8355247981545559
8.0,0.012,0.8382929642445214
9.0,0.012,0.8311418685121107
5.0,0.013000000000000001,0.8306805074971165
6.0,0.013000000000000001,0.8281430219146482
7.0,0.013000000000000001,0.831603229527105
8.0,0.013000000000000001,0.829757785467128
9.0,0.013000000000000001,0.8281430219146482
5.0,0.014,0.8214532871972319
6.0,0.014,0.817762399077278
7.0,0.014,0.8265282583621684
8.0,0.014,0.8226066897347174
9.0,0.014,0.8246828143021915
5.0,0.015,0.8163783160322953
6.0,0.015,0.821914648212226
7.0,0.015,0.8179930795847751
8.0,0.015,0.8170703575547866
9.0,0.015,0.8175317185697809
5.0,0.016,0.8156862745098039
6.0,0.016,0.8152249134948096
7.0,0.016,0.81199538638985
8.0,0.016,0.8129181084198385
9.0,0.016,0.8122260668973472
5.0,0.017,0.8018454440599769
6.0,0.017,0.8076124567474049
7.0,0.017,0.8080738177623991
8.0,0.017,0.8064590542099193
9.0,0.017,0.8117647058823529
5.0,0.018000000000000002,0.7946943483275664
6.0,0.018000000000000002,0.7926182237600923
7.0,0.018000000000000002,0.8016147635524798
8.0,0.018000000000000002,0.7993079584775087
9.0,0.018000000000000002,0.7905420991926182
5.0,0.019,0.7847750865051903
6.0,0.019,0.7893886966551327
7.0,0.019,0.7866205305651672
8.0,0.019,0.7838523644752018
9.0,0.019,0.7891580161476355
5.0,0.02,0.7813148788927335
6.0,0.02,0.770242214532872
7.0,0.02,0.7826989619377163
8.0,0.02,0.7635524798154556
9.0,0.02,0.7780853517877739
5.0,0.021,0.7688581314878893
6.0,0.021,0.7718569780853518
7.0,0.021,0.7681660899653979
8.0,0.021,0.772318339100346
9.0,0.021,0.7649365628604383
5.0,0.022,0.758477508650519
6.0,0.022,0.7538638985005767
7.0,0.022,0.7577854671280276
8.0,0.022,0.7416378316032295
9.0,0.022,0.7591695501730104
5.0,0.023,0.7395617070357555
6.0,0.023,0.7312572087658593
7.0,0.023,0.7361014994232987
8.0,0.023,0.7455594002306805
9.0,0.023,0.7377162629757785
5.0,0.024,0.7250288350634372
6.0,0.024,0.7229527104959631
7.0,0.024,0.7289504036908881
8.0,0.024,0.7264129181084198
9.0,0.024,0.7264129181084198
5.0,0.025,0.7038062283737024
6.0,0.025,0.7061130334486736
7.0,0.025,0.7118800461361015
8.0,0.025,0.7100346020761246
9.0,0.025,0.7107266435986159
